City,Population
Hoeröya,
Eid,
Straalsjöaasen,
Svartvik,
Ulvsten,
Viken,
Farestad,
Festvaag,
Gripholmen,
Dynene,
Ersfjordbotn,301
Akset,
Herroya,
Stemshaug,
Godøy,
Helfjeldbygden,
Hjorten,
Klakk,
Flatmoen,
Forsnes,
Eige,
Fagerhaug,
Loshamn,
Mostraum,
Skjeret,
Sorknes,
Stokken,
Vålebru,
Sæterlandet,
Salangsverket,
Låvi,
Forrfjord,
Gamvik,
Bøva,
Braate,
Herum,
Ulvestad,
Ölsund,
Ramsund,306
Atnbrua,
Stöen,
Viki,
Sumarbakk,
Vikebygd,
Møkkland,
Reiervik,
Kjøsnesvoll,
Lillehavn,
Kåfjord,
Saltjernet,
Senneset,
Eliasnes,
Varangerbotn,
Heggset,
Jørsladvåg,
Kjevik,
Komagvær,
Mosterhamn,1156
Møvik,
Smedvik,
Vigga,
Vatne,
Solstrand,
Rygene,
Saurbekkflot,
Hauso,
Råk,
Ramsli,
Stai,
Årstein,
Saland,
Hveem,
Skåland,
Konsmo,
Stathelle,
Björen,
Kjøkkelvik,
Vikersund,2496
Lökje,
Snøfugl,
Tjørvåg,361
Gjøn,
Falejde,
Vatnemoholmane,
Veines,
Ålstad,
Kvatum,
Straumøy,
Strengen,
Trondrud,
Sletto,
Instefjord,
Karpbukt,
Kattebakken,
Kila,
Sagevik,
Skjervik,
Steinbakken,
Lisleherad,
Valsøyfjord,
Ytre Kvarøya,
Ogna,324
Rottenvik,
Straumen,
Langøra,
Løset,
Kviting,
Nebbanynten,
Moelven,
Knapstad,
Bergan,
Etland,
Gissenås,
Torset,
Bjørnerås,
Tjeldstø,
Trolla Bruk,
Slåtten,
Smelror,
Stolsmo,
Skålevika,
Lindberget,
Mjelde,
Hammeren,
Hellandsbygda,
Bratbakken,
Ålvik,584
Åkervika,
Orhaugen,
Jøstølen,
Kalvik,
Killand,
Strømsbu,
Veggjeland,
Åmosen,
Grønlid,
Holøya,
Vanvik i Ryfylke,
Strangfjordens,
Sunndal,
Overbygden,
Skjervøy,
Salttjernet,
Berg,
Børsjøhøgruve,
Horv,
Misteröya,
Indbjör,
Gottenborg,
Dyrrud,
Gorset,
Storsteinnes,914
Sundsbø,
Hamlagrø,
Øyjord,
Öystrebö,
Kvernvika,
Lambertseter,
Stuorab Kiberg,
Bergsund,
Hornaberg,
Jordal,
Dyrnes,
Bolsaja Birka,
Muotki,
Aaröbugt,
Borsæt,
Langnes,
Lommunddal,
Rommetveit,
Brakstad,
Manndalen,
Skjelbostad,
Støa,
Svartdal,
Syrstad,
Seljestok,
Sira,600
Skålbrekka,
Hestvik,
Austdalen,
Bøverkinnhalsen,
Vasstun,
Ødegård,
Vistvik,
Reinforsheien,
Tørring,
Vaag,
Lund,
Molland,
Eidsdal,
Austadal,
Berdalen,
Bolle,
Burøysund,
Balangrud,
Klokkarvik,658
Steinberg,
Stangenes,
Sandmoen,
Finnstad,
Lassemoen,
Marisletta,
Bilstad,
Åbyrge,
Aalset,
Stokke,2625
Rosseid,
Horpestad,
Kroksund,
Gaupen,
Godøysund,
Hellestø,
Bondelia,
Stavang,
Frøland,
Aabjörgan,
Re,
Henriksbø,
Sneisa,
Luktvatnet,
Flakk,
Årland,
Blyset,
Torkop,
Hellesvik,
Foldereid,
Ims,
Liaböen,
Spranget,
Godli,
Øvre Maudal,
Laukhella,
Røyseland,
Steinmo,
Holo,
Kjerrvika,
Fede,
Hovdebygda,
Giskemo,
Hellandsjøberg,
Sylte,
Helldal,
Korsvold,
Guovdagæino,
Rösnes,
Mæskelven,
Grunnfør,
Skammestein,
Urdan,
Roaldkvam,
Sørbakken,
Stordalen,
Tøsse,
Bufloen,
Sör Gjeten,
Ytre Syltfjord,
